Gene1	Gene2	EdgeWeight
WNT4	RSPO1	4.3547058573622
UGR	NR0B1	4.33157428546571
CBX2	AMH	4.32552973590168
WT1pKTS	RSPO1	4.31514185491279
UGR	SOX9	4.25417813473581
CTNNB1	GATA4	4.24930520810772
WT1mKTS	DKK1	4.22929405027915
WT1mKTS	AMH	4.08298928494779
SRY	FOXL2	4.07815713950249
WT1pKTS	SRY	3.9664065243417
NR0B1	AMH	3.93550574090523
CTNNB1	DKK1	3.92864159940567
NR5A1	GATA4	3.91922097773294
SRY	GATA4	3.85841296447425
NR0B1	FOXL2	3.78413737716457
WNT4	AMH	3.76183514571935
NR5A1	CTNNB1	3.72763969885166
CTNNB1	FOXL2	3.59990470733989
WT1mKTS	NR0B1	3.40122457785168
FOXL2	NR0B1	3.33342725341823
FOXL2	RSPO1	3.22878343019335
WT1mKTS	WT1mKTS	3.18484555135972
WNT4	NR0B1	3.16887565518583
RSPO1	AMH	3.13231979387484
NR0B1	CTNNB1	3.09602804643034
RSPO1	GATA4	3.08092575522064
GATA4	SOX9	3.07181016308613
CBX2	DKK1	3.02895530257597
WT1mKTS	CTNNB1	2.9882334309547
WNT4	CTNNB1	2.91254271256615
WT1pKTS	WT1mKTS	2.86060173537643
NR0B1	SOX9	2.81178697862751
UGR	FGF9	2.78278599901573
FOXL2	FOXL2	2.68878939425339
FOXL2	WT1pKTS	2.68140444679239
WT1pKTS	DKK1	2.57597110686785
NR5A1	FOXL2	2.55147422109554
NR5A1	NR5A1	2.53943042042681
CBX2	GATA4	2.53756254489065
GATA4	DKK1	2.4766247061124
WNT4	SOX9	2.44758449873322
RSPO1	WT1mKTS	2.43564846898464
SRY	SOX9	2.43332069199111
NR5A1	UGR	2.41198244988615
CTNNB1	NR5A1	2.3884138023786
WNT4	WT1mKTS	2.36621166903026
WT1mKTS	SOX9	2.35620182560543
CTNNB1	AMH	2.35423937705319
WT1mKTS	FOXL2	2.33164769711042
SRY	FGF9	2.31543381382675
GATA4	GATA4	2.26811748407993
WNT4	FOXL2	2.18377782606427
WT1pKTS	NR0B1	2.16644535102482
WT1pKTS	AMH	2.10079302364291
WT1mKTS	RSPO1	2.0582914999311
WT1pKTS	DMRT1	2.05539924074605
UGR	WT1mKTS	2.01552401357718
CBX2	FOXL2	2.00330578317381
WT1mKTS	FGF9	1.9204994888039
RSPO1	FGF9	1.91936997579527
WNT4	FGF9	1.84184972048903
FOXL2	NR5A1	1.81733873497738
NR0B1	WT1mKTS	1.81585629370654
GATA4	FGF9	1.80687977276244
FOXL2	WT1mKTS	1.76566477301875
CTNNB1	CTNNB1	1.76332622146263
NR0B1	FGF9	1.74162395053831
FOXL2	SOX9	1.6536199483414
SRY	WT1mKTS	1.65317108116616
UGR	GATA4	1.64542374335506
WT1pKTS	GATA4	1.64350756160304
CTNNB1	FGF9	1.5972690725933
NR5A1	SOX9	1.5719526703313
FOXL2	GATA4	1.57128756229778
NR5A1	CBX2	1.54001007966138
FOXL2	AMH	1.4593029031638
RSPO1	FOXL2	1.4404234924859
WNT4	GATA4	1.43193443193737
WT1pKTS	FGF9	1.37804762001606
GATA4	NR0B1	1.35616237745846
WT1mKTS	DMRT1	1.32390491065809
UGR	DHH	1.31305506334316
WT1mKTS	GATA4	1.2741228164151
SRY	DHH	1.27302107421618
RSPO1	DHH	1.27029007246153
CTNNB1	DHH	1.26892587628208
CBX2	FGF9	1.24596469522599
GATA4	FOXL2	1.22979134436678
NR0B1	GATA4	1.1784521658682
SRY	NR0B1	1.17152233047452
UGR	DMRT1	1.12027903539117
CBX2	WT1mKTS	1.118931612247
DKK1	UGR	1.07997072920874
GATA4	WT1mKTS	1.07124660876878
RSPO1	DMRT1	0.979668200676218
WNT4	DHH	0.96070311536149
WNT4	DMRT1	0.885427637119874
DKK1	CBX2	0.873118646029973
NR0B1	DHH	0.866558337336414
CBX2	RSPO1	0.847992236202403
DKK1	DKK1	0.801024980847021
NR5A1	DMRT1	0.761102189219144
DKK1	WT1pKTS	0.736620639160141
RSPO1	SOX9	0.736275918440457
FOXL2	DMRT1	0.733969951851419
WT1pKTS	FOXL2	0.721218238401198
DMRT1	UGR	0.705711396138153
NR0B1	DMRT1	0.696612212548494
DKK1	WNT4	0.684774363688755
WT1pKTS	WNT4	0.677676009469957
DMRT1	CTNNB1	0.650248655727095
GATA4	PGD2	0.63728281634133
DMRT1	DKK1	0.610307762432333
SOX9	UGR	0.605033480992668
WT1pKTS	SOX9	0.594065656710205
DMRT1	WNT4	0.593106564952381
NR5A1	DKK1	0.592837727393926
DKK1	CTNNB1	0.560508386004552
NR5A1	DHH	0.559909018076306
GATA4	CTNNB1	0.55055799924485
DMRT1	WT1pKTS	0.534107780173455
WT1mKTS	DHH	0.51639201175119
DKK1	FOXL2	0.509563838343413
CTNNB1	WT1mKTS	0.505414031009341
DMRT1	CBX2	0.502881272654272
GATA4	DHH	0.499617484170981
DMRT1	FOXL2	0.485357113632724
NR0B1	NR0B1	0.485049562746659
DKK1	DMRT1	0.469040332356842
DKK1	RSPO1	0.467981469746341
SOX9	WNT4	0.467676505577357
FOXL2	DKK1	0.465094113406817
DMRT1	NR0B1	0.458806870659307
CTNNB1	DMRT1	0.453081045484169
DMRT1	DMRT1	0.4419070119014
SOX9	CBX2	0.430856762542665
DKK1	SRY	0.423127429021344
CTNNB1	SOX9	0.408159838712907
NR5A1	WT1pKTS	0.390703477946703
NR5A1	WT1mKTS	0.38969182581384
DKK1	NR5A1	0.389097227957361
DHH	UGR	0.384724855865549
SOX9	RSPO1	0.380503237062083
SOX9	DKK1	0.347741975924028
WT1pKTS	PGD2	0.345826615348756
DHH	CBX2	0.320979999479953
WT1mKTS	PGD2	0.314029141603301
PGD2	CBX2	0.310013332072813
DKK1	NR0B1	0.307820227081894
DMRT1	NR5A1	0.294896944781296
DMRT1	SRY	0.294163495991441
CBX2	DMRT1	0.29185734713144
PGD2	UGR	0.289603089592833
NR0B1	PGD2	0.282731029928827
NR5A1	FGF9	0.278300923122574
FOXL2	FGF9	0.273326024843083
DMRT1	RSPO1	0.267721961990687
SOX9	WT1pKTS	0.265610328954664
NR5A1	PGD2	0.257649284617459
DHH	SRY	0.247769049035034
SOX9	CTNNB1	0.239112162805116
SOX9	WT1mKTS	0.237032643186302
RSPO1	PGD2	0.227797436588745
DHH	WT1pKTS	0.222217053746684
FOXL2	PGD2	0.21463982305391
DHH	NR5A1	0.210676448486227
CBX2	PGD2	0.205195566556353
SOX9	DMRT1	0.1924260873286
FGF9	DKK1	0.188852383734091
SOX9	NR5A1	0.184147223274891
DKK1	DHH	0.180804152372099
FOXL2	DHH	0.173753480443018
AMH	UGR	0.170682313462947
DHH	DKK1	0.160689201269537
AMH	WNT4	0.157222588014688
PGD2	NR5A1	0.153717236967762
AMH	DKK1	0.148683759319587
SOX9	FOXL2	0.147672055302921
DKK1	AMH	0.142829375558885
FGF9	DMRT1	0.136898905389924
PGD2	WT1pKTS	0.13630336383087
NR5A1	SRY	0.131583379382557
RSPO1	CTNNB1	0.13137549155032
DKK1	GATA4	0.12868815914252
DHH	WNT4	0.127226107443976
FGF9	WNT4	0.124935292686007
AMH	WT1pKTS	0.124608933674784
DMRT1	DHH	0.121459681195963
GATA4	DMRT1	0.112735036269537
SOX9	AMH	0.112321670512158
DKK1	FGF9	0.107235518901802
UGR	PGD2	0.106957707013501
DHH	CTNNB1	0.106793686095897
CBX2	DHH	0.105650428678483
PGD2	SRY	0.102852412447571
SOX9	SRY	0.102827828477564
WT1pKTS	DHH	0.0991991955585954
AMH	FOXL2	0.0987073079272878
DMRT1	WT1mKTS	0.0973226587212545
DMRT1	AMH	0.0961128922648244
DHH	GATA4	0.0952688107951701
FGF9	WT1mKTS	0.0947035587162236
FGF9	SOX9	0.0930992498069679
PGD2	RSPO1	0.0930115193354797
FGF9	NR5A1	0.0915091693381097
PGD2	WNT4	0.0899597811229529
SRY	PGD2	0.0898368572476867
FGF9	WT1pKTS	0.0866196958689989
WNT4	PGD2	0.079267977549918
DHH	FOXL2	0.0761359863430762
DHH	RSPO1	0.0761322806407978
AMH	NR0B1	0.075913823742372
DKK1	WT1mKTS	0.0758725034866026
DHH	DHH	0.0727401366081226
AMH	WT1mKTS	0.0703092689439467
FGF9	UGR	0.0691965149289369
DMRT1	GATA4	0.067519880776806
DHH	WT1mKTS	0.0647258810725165
DHH	DMRT1	0.0633928719820699
DMRT1	FGF9	0.0623445242976276
AMH	DMRT1	0.0615306767755903
PGD2	AMH	0.0609160540046412
SOX9	FGF9	0.060799074161436
PGD2	SOX9	0.0604261096754458
FGF9	DHH	0.059978469458514
SOX9	DHH	0.0596781002847049
DHH	FGF9	0.0593908869764747
DHH	NR0B1	0.0572654506091804
AMH	RSPO1	0.0565610426150392
AMH	DHH	0.0561524270768704
AMH	CTNNB1	0.0510611110675129
FGF9	FOXL2	0.0485752542359542
PGD2	DMRT1	0.047663605506347
FGF9	FGF9	0.0473496084016714
SOX9	GATA4	0.0466827372715483
FGF9	SRY	0.0450087279911954
SOX9	SOX9	0.0447805931950838
DHH	AMH	0.0444707581308679
DKK1	PGD2	0.0432066414592902
SOX9	PGD2	0.0428398329270781
AMH	GATA4	0.0372434542203737
DMRT1	PGD2	0.0368598918690225
PGD2	FOXL2	0.0343210673234055
GATA4	RSPO1	0.0337935513380435
FGF9	PGD2	0.0331104102050836
FGF9	CBX2	0.0319115174882471
FGF9	CTNNB1	0.0301534251035058
DHH	SOX9	0.0296967177351297
PGD2	FGF9	0.0287662893980974
FGF9	GATA4	0.0286975522013521
PGD2	GATA4	0.0272366982850822
AMH	CBX2	0.0219044346996549
PGD2	DKK1	0.0216067366781755
AMH	FGF9	0.0216003526945599
AMH	SRY	0.0214911411736353
AMH	NR5A1	0.0194688247190775
SRY	DMRT1	0.0193227358195574
PGD2	DHH	0.0186639644096857
FGF9	AMH	0.0183926604007599
DMRT1	SOX9	0.0155519968652826
CTNNB1	PGD2	0.0154974621609411
AMH	SOX9	0.0147980996413674
PGD2	PGD2	0.0113054984832398
FGF9	RSPO1	0.0098659995460516
AMH	PGD2	0.0092212734357185
AMH	AMH	0.0070979288914738
PGD2	CTNNB1	0.0063304467377028
FGF9	NR0B1	0.0061703979244082
DHH	PGD2	0.005947799249235
NR5A1	AMH	0.0035177378743285
DKK1	SOX9	0.0035029677247046
PGD2	NR0B1	0.0032150830026394
PGD2	WT1mKTS	0.001174185314063
SOX9	NR0B1	0.0002626132720658
