Gene1	Gene2	EdgeWeight
NR5A1	WNT4	6.19923522685413
WT1pKTS	DMRT1	6.17278779564095
UGR	AMH	6.15632795041045
WT1pKTS	WNT4	6.11433860048275
DMRT1	WNT4	6.07379017952262
DKK1	GATA4	6.0498228696192
WT1mKTS	FGF9	6.0243020296375
WT1pKTS	CTNNB1	5.95184093703035
GATA4	FGF9	5.8867644839451
DMRT1	DMRT1	5.78508325712133
SOX9	UGR	5.69883904557107
FOXL2	CTNNB1	5.63780569703509
UGR	RSPO1	5.62416891353719
WNT4	AMH	5.57033199137894
CTNNB1	WT1pKTS	5.51731404794426
RSPO1	NR5A1	5.49575192284274
DMRT1	SRY	5.45778630953075
FOXL2	SRY	5.27491811018428
WNT4	PGD2	5.25819939389869
RSPO1	SRY	5.22866199385804
WT1pKTS	GATA4	5.18286372701362
WNT4	RSPO1	5.18128824277712
SRY	DKK1	5.15618471699192
DKK1	WNT4	5.10769731823836
WT1mKTS	CTNNB1	5.10424783176522
DKK1	SRY	5.08916730493875
WT1pKTS	FGF9	5.07321094283049
SRY	AMH	5.05050043212294
CBX2	SOX9	4.98822951905159
RSPO1	DKK1	4.96608277048537
NR5A1	CTNNB1	4.94851136275753
NR5A1	NR0B1	4.94671853311326
GATA4	CTNNB1	4.94003868874675
FOXL2	WNT4	4.93545088843441
DMRT1	NR5A1	4.80516941306646
NR0B1	NR0B1	4.79810699168006
NR0B1	DKK1	4.78687056350385
UGR	FOXL2	4.70866920577749
CTNNB1	NR0B1	4.60833087740762
UGR	SOX9	4.59465467414806
DMRT1	WT1pKTS	4.57200788518247
WNT4	DKK1	4.52602156030351
GATA4	AMH	4.52143782409312
DKK1	NR5A1	4.49509660156862
CBX2	DHH	4.48120489189125
NR0B1	GATA4	4.34034025279728
CBX2	AMH	4.32552973590168
WT1pKTS	RSPO1	4.31514185491279
CTNNB1	GATA4	4.24930520810772
RSPO1	CTNNB1	4.23377297734975
WT1mKTS	DKK1	4.22929405027915
AMH	WT1pKTS	4.10493198870714
WT1mKTS	AMH	4.08298928494779
SRY	FOXL2	4.07815713950249
AMH	NR0B1	4.05880069018873
NR0B1	CTNNB1	4.04473257221283
GATA4	DHH	4.02284439141183
SOX9	CBX2	3.98717500583806
AMH	CBX2	3.97472786293662
NR0B1	FGF9	3.9655491408827
DHH	CBX2	3.96064156952982
NR0B1	AMH	3.93550574090523
CTNNB1	DKK1	3.92864159940567
NR5A1	GATA4	3.91922097773294
NR0B1	SOX9	3.91444499863718
DKK1	WT1pKTS	3.9139176060578
DKK1	DMRT1	3.9079549516005
FGF9	NR0B1	3.8775039692646
SRY	GATA4	3.85841296447425
DKK1	DHH	3.82988722730964
DHH	NR0B1	3.80195698593864
NR0B1	FOXL2	3.78413737716457
FGF9	CBX2	3.66989469816805
CTNNB1	FOXL2	3.59990470733989
NR5A1	FGF9	3.52772177389661
WT1mKTS	DHH	3.47325340722621
CBX2	RSPO1	3.43787575166111
PGD2	NR0B1	3.42891359071368
DMRT1	FGF9	3.39626500014265
WT1mKTS	WT1mKTS	3.35183406850091
FOXL2	NR0B1	3.33342725341823
CTNNB1	CTNNB1	3.30354471325518
UGR	PGD2	3.27798755192477
WT1mKTS	RSPO1	3.24524598902485
FOXL2	RSPO1	3.22878343019335
GATA4	RSPO1	3.2266072322856
DMRT1	DHH	3.19248471761564
PGD2	CBX2	3.18898790780614
FGF9	GATA4	3.16370149822362
DKK1	PGD2	3.1569963525834
RSPO1	GATA4	3.14696040315271
RSPO1	AMH	3.13231979387484
DMRT1	RSPO1	3.1218405073195
SOX9	WT1pKTS	3.09674299378994
FGF9	DMRT1	3.08130327161085
DHH	WT1pKTS	3.07536474255935
FGF9	WT1pKTS	3.07506229661688
GATA4	SOX9	3.07181016308613
CBX2	DKK1	3.02895530257597
DKK1	FGF9	3.02853929059297
DKK1	CTNNB1	2.99827745621369
PGD2	DMRT1	2.98082720468202
NR5A1	AMH	2.9561788545428
WNT4	WT1mKTS	2.94424903330589
DHH	DHH	2.92666254367985
WT1pKTS	WT1mKTS	2.86060173537643
DHH	PGD2	2.82711642356
DKK1	RSPO1	2.82362037238539
SRY	FGF9	2.80063819996111
DHH	GATA4	2.79377042993079
PGD2	WT1pKTS	2.7895987112887
DMRT1	PGD2	2.77860702707882
NR5A1	DKK1	2.7663486865042
NR0B1	DMRT1	2.74275585959501
AMH	WNT4	2.74123677559108
FOXL2	FOXL2	2.68878939425339
FOXL2	WT1pKTS	2.68140444679239
UGR	WT1mKTS	2.6684298337063
DMRT1	CTNNB1	2.66306882554716
PGD2	GATA4	2.65049733072114
WT1pKTS	DHH	2.61632636896293
FGF9	WNT4	2.58913312941809
WT1pKTS	DKK1	2.57597110686785
SRY	NR0B1	2.56956686191325
CBX2	WT1mKTS	2.56288254352099
AMH	GATA4	2.55922457670629
NR5A1	FOXL2	2.55147422109554
AMH	SRY	2.54829797014539
NR5A1	NR5A1	2.53943042042681
DHH	WNT4	2.53811048527033
AMH	DMRT1	2.4842719430096
SRY	DMRT1	2.47830392120117
GATA4	DKK1	2.4766247061124
RSPO1	SOX9	2.47258058431403
AMH	PGD2	2.46233452926934
RSPO1	WT1mKTS	2.43564846898464
SRY	SOX9	2.43332069199111
DHH	DMRT1	2.42454263581723
CTNNB1	NR5A1	2.3884138023786
NR5A1	SOX9	2.37791203690852
SOX9	SRY	2.3611923475413
WT1mKTS	SOX9	2.35620182560543
CTNNB1	AMH	2.35423937705319
PGD2	WNT4	2.34314688201166
WT1mKTS	FOXL2	2.33164769711042
FGF9	SRY	2.33131233154974
AMH	NR5A1	2.28431797791629
WT1pKTS	SOX9	2.2030544195347
PGD2	SRY	2.18794982416381
WNT4	FOXL2	2.18377782606427
FGF9	PGD2	2.17446185970317
FGF9	NR5A1	2.17298269959177
DHH	NR5A1	2.1427436324414
WT1pKTS	AMH	2.10079302364291
SOX9	CTNNB1	2.03289368781697
CTNNB1	FGF9	2.02106516937158
DMRT1	DKK1	2.02085274224855
CBX2	FOXL2	2.00330578317381
RSPO1	FGF9	2.00294518251649
SRY	WT1mKTS	1.99627471721331
FGF9	FGF9	1.98247742878841
NR5A1	PGD2	1.97563934040444
AMH	DHH	1.97548001970615
FGF9	DHH	1.90298431018848
PGD2	NR5A1	1.86436890704602
CTNNB1	SOX9	1.85064309507011
FOXL2	NR5A1	1.81733873497738
NR0B1	WT1mKTS	1.81585629370654
AMH	CTNNB1	1.79762428704648
SOX9	AMH	1.79145582385635
FOXL2	WT1mKTS	1.76566477301875
AMH	FGF9	1.74319567544878
CTNNB1	DHH	1.72297346026448
NR0B1	DHH	1.67178020255773
DHH	FGF9	1.66322957822016
FOXL2	SOX9	1.6536199483414
GATA4	FOXL2	1.64107686754442
DHH	SRY	1.62742119726322
FOXL2	GATA4	1.57128756229778
FOXL2	AMH	1.4593029031638
SOX9	FGF9	1.45876718139898
RSPO1	FOXL2	1.4404234924859
DMRT1	SOX9	1.4197296579502
PGD2	FGF9	1.38542613218121
DHH	RSPO1	1.37702536125524
DMRT1	AMH	1.37213679216951
DHH	CTNNB1	1.33939017223271
WT1mKTS	PGD2	1.29786699987123
GATA4	PGD2	1.28452300674613
SRY	DHH	1.27302107421618
RSPO1	DHH	1.27029007246153
RSPO1	DMRT1	1.25783148774735
FGF9	RSPO1	1.25715861907308
CTNNB1	PGD2	1.25570970098838
DKK1	SOX9	1.21881390483282
CTNNB1	DMRT1	1.18856267889199
WT1pKTS	FOXL2	1.18313090781003
DKK1	AMH	1.15728344824506
SOX9	NR0B1	1.1403123370839
SOX9	DHH	1.11882417238557
GATA4	WT1mKTS	1.11258827187154
PGD2	PGD2	1.09235505643611
AMH	RSPO1	1.06795406456161
PGD2	RSPO1	1.00267217589969
FGF9	CTNNB1	1.0011096405469
SOX9	WNT4	0.972580025663519
CBX2	PGD2	0.954797711657628
PGD2	DHH	0.895257276564928
SOX9	GATA4	0.880095354993752
DKK1	WT1mKTS	0.828045945824677
DKK1	DKK1	0.801024980847021
WT1pKTS	PGD2	0.781075567350701
DMRT1	FOXL2	0.768293090551289
NR5A1	DMRT1	0.761102189219144
FOXL2	DMRT1	0.733969951851419
SOX9	RSPO1	0.716280132701522
DKK1	FOXL2	0.702196118264847
DHH	AMH	0.688919983685081
NR5A1	WT1mKTS	0.66882797406221
AMH	AMH	0.65654435464831
PGD2	CTNNB1	0.639654686731116
AMH	WT1mKTS	0.608725965526361
SOX9	DMRT1	0.577224157615546
DHH	SOX9	0.571512734225039
NR5A1	DHH	0.559909018076306
RSPO1	PGD2	0.549181919958531
SOX9	DKK1	0.534111486831182
CTNNB1	WT1mKTS	0.505414031009341
FGF9	AMH	0.485592520152996
FGF9	SOX9	0.468661150033526
FOXL2	DKK1	0.465094113406817
PGD2	AMH	0.446531409698159
PGD2	WT1mKTS	0.403202524210932
AMH	FOXL2	0.399456466512667
FGF9	DKK1	0.389342532644688
SOX9	PGD2	0.386620592724976
SOX9	SOX9	0.372615139853153
FGF9	WT1mKTS	0.364608609150863
SOX9	WT1mKTS	0.361100783248323
FGF9	FOXL2	0.358315001871913
PGD2	SOX9	0.351839951545752
SRY	PGD2	0.336656449606447
DHH	FOXL2	0.334092775232371
PGD2	FOXL2	0.333632707405581
NR0B1	PGD2	0.282731029928827
FOXL2	FGF9	0.273326024843083
PGD2	DKK1	0.269859899125011
FOXL2	PGD2	0.21463982305391
DMRT1	WT1mKTS	0.207876601920657
SOX9	NR5A1	0.187826782253397
FOXL2	DHH	0.173753480443018
AMH	DKK1	0.16470919203223
DHH	DKK1	0.160689201269537
SOX9	FOXL2	0.147672055302921
DHH	WT1mKTS	0.096371450952882
AMH	SOX9	0.0288827277305185
