TF	target	importance
CTNNB1	SRY	0.043778862239376264
DHH	SRY	0.043284175268396216
SOX9	CBX2	0.042803375819235594
WNT4	SOX9	0.04276741273562879
WT1pKTS	CBX2	0.04252934777100995
DKK1	CTNNB1	0.042472301340922204
CBX2	NR5A1	0.04207898832413148
SRY	CBX2	0.042032712591592074
NR0B1	FGF9	0.04172218606665964
WNT4	FOXL2	0.04159598649974163
CTNNB1	UGR	0.041425787654663086
DMRT1	CTNNB1	0.041139957527962415
DMRT1	WT1mKTS	0.04104761972657857
DKK1	WNT4	0.04089470439187759
UGR	WNT4	0.04004076146647666
DMRT1	FGF9	0.03965502851577537
CTNNB1	GATA4	0.03945083763274065
RSPO1	GATA4	0.03881678217873017
DMRT1	WT1pKTS	0.03878654632662527
DMRT1	WNT4	0.03877865995768624
GATA4	UGR	0.03834103573401747
WT1mKTS	UGR	0.0380765063022658
DKK1	WT1mKTS	0.037830426427484826
NR0B1	DHH	0.03690609693873986
DKK1	GATA4	0.03682203037423996
RSPO1	WT1mKTS	0.0363403842977063
DMRT1	GATA4	0.03632466936855216
WT1mKTS	WT1pKTS	0.0359763389293633
CTNNB1	WT1mKTS	0.03538998397120328
SOX9	UGR	0.03451320750113141
AMH	DMRT1	0.03350657509342019
WT1mKTS	CBX2	0.032519444219252035
SOX9	WT1mKTS	0.03245530357976191
SOX9	GATA4	0.032415992843864636
FOXL2	WT1mKTS	0.03228179029509815
DMRT1	NR5A1	0.0319035610583959
DHH	GATA4	0.031435837410125386
UGR	SRY	0.030930765152881994
PGD2	GATA4	0.030711405132018317
FOXL2	GATA4	0.030164164767448508
DKK1	NR5A1	0.030043634308500388
DHH	WT1mKTS	0.029575677907056324
AMH	WT1mKTS	0.029340414703656583
FGF9	GATA4	0.029300407587936082
AMH	DKK1	0.02913591715104025
AMH	GATA4	0.02910305096374829
FOXL2	CBX2	0.02892356580813702
PGD2	SRY	0.028456996884578534
CBX2	NR0B1	0.027926464094860274
SRY	RSPO1	0.02788548453033674
PGD2	WT1mKTS	0.027660626270983226
DMRT1	FOXL2	0.02690501480971669
GATA4	WT1pKTS	0.026827738331083487
SRY	DHH	0.02637692070753506
FGF9	WT1mKTS	0.026366074477845707
WNT4	CBX2	0.02600960758408449
CTNNB1	DKK1	0.025718488735120056
NR0B1	SRY	0.025255063908391582
WNT4	PGD2	0.025157258389809433
CBX2	RSPO1	0.025024549587749495
CBX2	SRY	0.0247302624568039
FOXL2	SRY	0.024645880899160297
GATA4	CBX2	0.024501066037985877
NR0B1	CBX2	0.024400942350122704
SOX9	RSPO1	0.024306029481882402
NR0B1	FOXL2	0.024296463371703648
WNT4	DKK1	0.02412210184636624
FGF9	WNT4	0.023846864458588444
SRY	AMH	0.023748959120146428
CBX2	DKK1	0.023569477919324636
PGD2	CBX2	0.023471140420997634
NR5A1	UGR	0.02342870297925234
SRY	WNT4	0.023337977077041955
SRY	FGF9	0.023204617671751495
FGF9	NR5A1	0.023199928143673325
DKK1	FOXL2	0.023049329201706936
WT1mKTS	NR0B1	0.02268785899018775
WNT4	DMRT1	0.02257197685957088
CBX2	CTNNB1	0.022568049740800847
AMH	SRY	0.022392571051880177
WNT4	WT1pKTS	0.022176914427329327
WNT4	FGF9	0.021896066790891306
CTNNB1	DMRT1	0.021818667909489112
DKK1	NR0B1	0.021533873945213944
GATA4	NR5A1	0.021490903278993462
NR5A1	SRY	0.021433405036772157
AMH	NR5A1	0.02130908575759415
DMRT1	NR0B1	0.021147505452880466
WT1pKTS	DMRT1	0.02069681723798565
GATA4	NR0B1	0.020693180412259617
RSPO1	SOX9	0.020260257259643935
FOXL2	NR0B1	0.0201053010845998
DHH	NR5A1	0.019903761679894386
DHH	UGR	0.019730263839235755
SOX9	NR0B1	0.019716331796974067
CBX2	WT1pKTS	0.0196316591656575
PGD2	WNT4	0.01951858432311019
WT1mKTS	NR5A1	0.01941408102786129
DHH	CBX2	0.01928390114360274
WT1pKTS	DKK1	0.01851394612403087
FGF9	CBX2	0.018478275166840533
WNT4	AMH	0.01843125759551379
CBX2	DMRT1	0.018385434811146555
FGF9	UGR	0.01836834526294409
WNT4	DHH	0.018276758528668172
PGD2	UGR	0.017949194121020362
WT1pKTS	NR0B1	0.017785326918975643
AMH	UGR	0.017361509184557502
PGD2	NR5A1	0.01714776952723172
CBX2	WNT4	0.017137382621323388
SRY	PGD2	0.0165852129451713
WT1pKTS	UGR	0.01637356250809026
UGR	NR5A1	0.01606352204153628
UGR	RSPO1	0.015851039214257488
RSPO1	SRY	0.015543373650717705
UGR	CTNNB1	0.015382542017765132
WNT4	SRY	0.01536948926085427
DKK1	RSPO1	0.014916299498113354
NR5A1	PGD2	0.014698997747448843
DHH	WNT4	0.014577011267571676
DMRT1	RSPO1	0.014403399390488465
NR5A1	DHH	0.014274423408299599
NR5A1	FGF9	0.014209818306167445
SOX9	WT1pKTS	0.01412363215182273
UGR	WT1pKTS	0.014069002500366601
NR0B1	WT1pKTS	0.0140477991418909
NR5A1	AMH	0.013864790887989429
WT1pKTS	WNT4	0.01379881229863198
AMH	CBX2	0.013023604249159678
AMH	WNT4	0.012657829491816572
NR5A1	DMRT1	0.01258015807351373
WT1mKTS	WNT4	0.012292128272698965
NR5A1	DKK1	0.01210215499936065
SOX9	CTNNB1	0.012001910873359873
FOXL2	UGR	0.011889606659834857
FGF9	RSPO1	0.011574926492572614
UGR	FOXL2	0.01104151789816499
GATA4	WNT4	0.01091272105259866
PGD2	RSPO1	0.010486749668830867
CBX2	FOXL2	0.010141147628057436
UGR	DMRT1	0.009796113019416524
FOXL2	DMRT1	0.009303024155677945
NR0B1	SOX9	0.00912879923142948
FGF9	WT1pKTS	0.008918843551704818
CTNNB1	SOX9	0.008914268856311258
UGR	DKK1	0.008849751316955576
SOX9	FOXL2	0.008761385375715774
RSPO1	DKK1	0.008752621639073213
WT1mKTS	FOXL2	0.008749219373537908
FOXL2	DKK1	0.008738688744242168
PGD2	WT1pKTS	0.008349517527383006
RSPO1	DMRT1	0.008197698839910865
WT1mKTS	SRY	0.007828301566710579
DHH	WT1pKTS	0.007775996126524159
RSPO1	PGD2	0.007703723324040185
RSPO1	DHH	0.007680997331800116
GATA4	SRY	0.00759572441211995
WT1mKTS	RSPO1	0.007440107189980731
CBX2	SOX9	0.007097327563483176
DHH	RSPO1	0.006760264306513765
AMH	WT1pKTS	0.006547825369841645
GATA4	FOXL2	0.006500715161903834
NR0B1	DMRT1	0.006477390784472839
NR0B1	DKK1	0.006298087229856267
WT1mKTS	CTNNB1	0.006187454607210869
GATA4	CTNNB1	0.0061836215377631
GATA4	RSPO1	0.006053229141132685
RSPO1	FGF9	0.005838309653529215
RSPO1	AMH	0.005813173073443741
UGR	SOX9	0.00571731208603238
WT1pKTS	SOX9	0.005315900167769804
CTNNB1	AMH	0.005299747948930396
AMH	RSPO1	0.0052830198850271235
FGF9	CTNNB1	0.005143891970377484
DHH	CTNNB1	0.004690797725156052
PGD2	CTNNB1	0.004442097097157225
AMH	CTNNB1	0.004438337230974935
CBX2	AMH	0.004344332234068541
CTNNB1	FGF9	0.0043280298645472625
CTNNB1	PGD2	0.004254076583725012
WT1mKTS	DMRT1	0.004160889005477067
CBX2	DHH	0.004130641048381886
AMH	FOXL2	0.0040456447958751
UGR	AMH	0.003988910440556298
UGR	FGF9	0.0039768800399676806
FGF9	FOXL2	0.0039407344507921055
UGR	PGD2	0.003889537475600676
PGD2	FOXL2	0.00386167185287024
CTNNB1	DHH	0.0038468532023175563
DHH	FOXL2	0.0037725373835021062
GATA4	DMRT1	0.003605552256604664
UGR	DHH	0.0035135928531470594
FOXL2	SOX9	0.0034352637839435585
CBX2	FGF9	0.0034172840505188834
GATA4	SOX9	0.003382350633207888
CBX2	PGD2	0.003351955065800637
WT1mKTS	SOX9	0.0033447638381545776
WT1mKTS	AMH	0.0032507747536122465
GATA4	DKK1	0.0031493591905535096
WT1mKTS	DKK1	0.003124691262914563
WT1pKTS	AMH	0.002959888056967026
WT1pKTS	FGF9	0.0029198414622757627
WT1pKTS	PGD2	0.0028627038602718926
WT1pKTS	DHH	0.0028345389144795842
FOXL2	FGF9	0.0027785561277685607
GATA4	FGF9	0.002734934943758439
FOXL2	DHH	0.002703570451483219
WT1mKTS	DHH	0.0026340110177541353
FOXL2	AMH	0.0025183931043024233
GATA4	AMH	0.0023138736654784485
GATA4	DHH	0.0020982083325191197
WT1mKTS	FGF9	0.0019186421258741804
WT1mKTS	PGD2	0.0019045487733888413
FOXL2	PGD2	0.0019011587098919668
GATA4	PGD2	0.0017912157191493044
