Gene1	Gene2	EdgeWeight
CTNNB1	SRY	0.0437788622393762
DHH	SRY	0.0432841752683962
SOX9	CBX2	0.0428033758192355
WNT4	SOX9	0.0427674127356287
WT1pKTS	CBX2	0.0425293477710099
DKK1	CTNNB1	0.0424723013409222
CBX2	NR5A1	0.0420789883241314
SRY	CBX2	0.042032712591592
NR0B1	FGF9	0.0417221860666596
WNT4	FOXL2	0.0415959864997416
CTNNB1	UGR	0.041425787654663
DMRT1	CTNNB1	0.0411399575279624
DMRT1	WT1mKTS	0.0410476197265785
DKK1	WNT4	0.0408947043918775
UGR	WNT4	0.0400407614664766
DMRT1	FGF9	0.0396550285157753
CTNNB1	GATA4	0.0394508376327406
RSPO1	GATA4	0.0388167821787301
DMRT1	WT1pKTS	0.0387865463266252
DMRT1	WNT4	0.0387786599576862
GATA4	UGR	0.0383410357340174
WT1mKTS	UGR	0.0380765063022658
DKK1	WT1mKTS	0.0378304264274848
NR0B1	DHH	0.0369060969387398
DKK1	GATA4	0.0368220303742399
RSPO1	WT1mKTS	0.0363403842977063
DMRT1	GATA4	0.0363246693685521
WT1mKTS	WT1pKTS	0.0359763389293633
CTNNB1	WT1mKTS	0.0353899839712032
SOX9	UGR	0.0345132075011314
AMH	DMRT1	0.0335065750934201
WT1mKTS	CBX2	0.032519444219252
SOX9	WT1mKTS	0.0324553035797619
SOX9	GATA4	0.0324159928438646
FOXL2	WT1mKTS	0.0322817902950981
DMRT1	NR5A1	0.0319035610583959
DHH	GATA4	0.0314358374101253
UGR	SRY	0.0309307651528819
PGD2	GATA4	0.0307114051320183
FOXL2	GATA4	0.0301641647674485
DKK1	NR5A1	0.0300436343085003
DHH	WT1mKTS	0.0295756779070563
AMH	WT1mKTS	0.0293404147036565
FGF9	GATA4	0.029300407587936
AMH	DKK1	0.0291359171510402
AMH	GATA4	0.0291030509637482
FOXL2	CBX2	0.028923565808137
PGD2	SRY	0.0284569968845785
CBX2	NR0B1	0.0279264640948602
SRY	RSPO1	0.0278854845303367
PGD2	WT1mKTS	0.0276606262709832
DMRT1	FOXL2	0.0269050148097166
GATA4	WT1pKTS	0.0268277383310834
SRY	DHH	0.026376920707535
FGF9	WT1mKTS	0.0263660744778457
WNT4	CBX2	0.0260096075840844
CTNNB1	DKK1	0.02571848873512
NR0B1	SRY	0.0252550639083915
WNT4	PGD2	0.0251572583898094
CBX2	RSPO1	0.0250245495877494
CBX2	SRY	0.0247302624568039
FOXL2	SRY	0.0246458808991602
GATA4	CBX2	0.0245010660379858
NR0B1	CBX2	0.0244009423501227
SOX9	RSPO1	0.0243060294818824
NR0B1	FOXL2	0.0242964633717036
WNT4	DKK1	0.0241221018463662
FGF9	WNT4	0.0238468644585884
SRY	AMH	0.0237489591201464
CBX2	DKK1	0.0235694779193246
PGD2	CBX2	0.0234711404209976
NR5A1	UGR	0.0234287029792523
SRY	WNT4	0.0233379770770419
SRY	FGF9	0.0232046176717514
FGF9	NR5A1	0.0231999281436733
DKK1	FOXL2	0.0230493292017069
WT1mKTS	NR0B1	0.0226878589901877
WNT4	DMRT1	0.0225719768595708
CBX2	CTNNB1	0.0225680497408008
AMH	SRY	0.0223925710518801
WNT4	WT1pKTS	0.0221769144273293
WNT4	FGF9	0.0218960667908913
CTNNB1	DMRT1	0.0218186679094891
DKK1	NR0B1	0.0215338739452139
GATA4	NR5A1	0.0214909032789934
NR5A1	SRY	0.0214334050367721
AMH	NR5A1	0.0213090857575941
DMRT1	NR0B1	0.0211475054528804
WT1pKTS	DMRT1	0.0206968172379856
GATA4	NR0B1	0.0206931804122596
RSPO1	SOX9	0.0202602572596439
FOXL2	NR0B1	0.0201053010845998
DHH	NR5A1	0.0199037616798943
DHH	UGR	0.0197302638392357
SOX9	NR0B1	0.019716331796974
CBX2	WT1pKTS	0.0196316591656575
PGD2	WNT4	0.0195185843231101
WT1mKTS	NR5A1	0.0194140810278612
DHH	CBX2	0.0192839011436027
WT1pKTS	DKK1	0.0185139461240308
FGF9	CBX2	0.0184782751668405
WNT4	AMH	0.0184312575955137
CBX2	DMRT1	0.0183854348111465
FGF9	UGR	0.018368345262944
WNT4	DHH	0.0182767585286681
PGD2	UGR	0.0179491941210203
WT1pKTS	NR0B1	0.0177853269189756
AMH	UGR	0.0173615091845575
PGD2	NR5A1	0.0171477695272317
CBX2	WNT4	0.0171373826213233
SRY	PGD2	0.0165852129451713
WT1pKTS	UGR	0.0163735625080902
UGR	NR5A1	0.0160635220415362
UGR	RSPO1	0.0158510392142574
RSPO1	SRY	0.0155433736507177
UGR	CTNNB1	0.0153825420177651
WNT4	SRY	0.0153694892608542
DKK1	RSPO1	0.0149162994981133
NR5A1	PGD2	0.0146989977474488
DHH	WNT4	0.0145770112675716
DMRT1	RSPO1	0.0144033993904884
NR5A1	DHH	0.0142744234082995
NR5A1	FGF9	0.0142098183061674
SOX9	WT1pKTS	0.0141236321518227
UGR	WT1pKTS	0.0140690025003666
NR0B1	WT1pKTS	0.0140477991418909
NR5A1	AMH	0.0138647908879894
WT1pKTS	WNT4	0.0137988122986319
AMH	CBX2	0.0130236042491596
AMH	WNT4	0.0126578294918165
NR5A1	DMRT1	0.0125801580735137
WT1mKTS	WNT4	0.0122921282726989
NR5A1	DKK1	0.0121021549993606
SOX9	CTNNB1	0.0120019108733598
FOXL2	UGR	0.0118896066598348
FGF9	RSPO1	0.0115749264925726
UGR	FOXL2	0.0110415178981649
GATA4	WNT4	0.0109127210525986
PGD2	RSPO1	0.0104867496688308
CBX2	FOXL2	0.0101411476280574
UGR	DMRT1	0.0097961130194165
FOXL2	DMRT1	0.0093030241556779
NR0B1	SOX9	0.0091287992314294
FGF9	WT1pKTS	0.0089188435517048
CTNNB1	SOX9	0.0089142688563112
UGR	DKK1	0.0088497513169555
SOX9	FOXL2	0.0087613853757157
RSPO1	DKK1	0.0087526216390732
WT1mKTS	FOXL2	0.0087492193735379
FOXL2	DKK1	0.0087386887442421
PGD2	WT1pKTS	0.008349517527383
RSPO1	DMRT1	0.0081976988399108
WT1mKTS	SRY	0.0078283015667105
DHH	WT1pKTS	0.0077759961265241
RSPO1	PGD2	0.0077037233240401
RSPO1	DHH	0.0076809973318001
GATA4	SRY	0.0075957244121199
WT1mKTS	RSPO1	0.0074401071899807
CBX2	SOX9	0.0070973275634831
DHH	RSPO1	0.0067602643065137
AMH	WT1pKTS	0.0065478253698416
GATA4	FOXL2	0.0065007151619038
NR0B1	DMRT1	0.0064773907844728
NR0B1	DKK1	0.0062980872298562
WT1mKTS	CTNNB1	0.0061874546072108
GATA4	CTNNB1	0.0061836215377631
GATA4	RSPO1	0.0060532291411326
RSPO1	FGF9	0.0058383096535292
RSPO1	AMH	0.0058131730734437
UGR	SOX9	0.0057173120860323
WT1pKTS	SOX9	0.0053159001677698
CTNNB1	AMH	0.0052997479489303
AMH	RSPO1	0.0052830198850271
FGF9	CTNNB1	0.0051438919703774
DHH	CTNNB1	0.004690797725156
PGD2	CTNNB1	0.0044420970971572
AMH	CTNNB1	0.0044383372309749
CBX2	AMH	0.0043443322340685
CTNNB1	FGF9	0.0043280298645472
CTNNB1	PGD2	0.004254076583725
WT1mKTS	DMRT1	0.004160889005477
CBX2	DHH	0.0041306410483818
AMH	FOXL2	0.0040456447958751
UGR	AMH	0.0039889104405562
UGR	FGF9	0.0039768800399676
FGF9	FOXL2	0.0039407344507921
UGR	PGD2	0.0038895374756006
PGD2	FOXL2	0.0038616718528702
CTNNB1	DHH	0.0038468532023175
DHH	FOXL2	0.0037725373835021
GATA4	DMRT1	0.0036055522566046
UGR	DHH	0.003513592853147
FOXL2	SOX9	0.0034352637839435
CBX2	FGF9	0.0034172840505188
GATA4	SOX9	0.0033823506332078
CBX2	PGD2	0.0033519550658006
WT1mKTS	SOX9	0.0033447638381545
WT1mKTS	AMH	0.0032507747536122
GATA4	DKK1	0.0031493591905535
WT1mKTS	DKK1	0.0031246912629145
WT1pKTS	AMH	0.002959888056967
WT1pKTS	FGF9	0.0029198414622757
WT1pKTS	PGD2	0.0028627038602718
WT1pKTS	DHH	0.0028345389144795
FOXL2	FGF9	0.0027785561277685
GATA4	FGF9	0.0027349349437584
FOXL2	DHH	0.0027035704514832
WT1mKTS	DHH	0.0026340110177541
FOXL2	AMH	0.0025183931043024
GATA4	AMH	0.0023138736654784
GATA4	DHH	0.0020982083325191
WT1mKTS	FGF9	0.0019186421258741
WT1mKTS	PGD2	0.0019045487733888
FOXL2	PGD2	0.0019011587098919
GATA4	PGD2	0.0017912157191493
